"","PBNleg","dscrPhase","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"1071",5,2,-0.91786513,9.33,0.299999999999997,0.299999999999997,9,0,0,1,4,3,2,1,1
"1078",5,2,-0.89888819,7.45,2,2,9,0,4,1,3,3,2,1,1
"1085",5,3,-0.87119916,6,3.40000000000001,3.40000000000001,9,0,3,1,3,3,2,1,1
"1092",5,3,-0.83642094,4.82,4.5,4.5,-51,1,3,0,3,3,2,1,1
"1099",5,3,-0.79640989,-2.1,5.09999999999999,5.09999999999999,-51,1,3,0,3,3,2,1,3
"1106",5,3,-0.75907911,-12.76,3.8,3.8,-51,1,3,0,3,2,2,1,3
"1113",5,3,-0.73646655,-23.53,0.200000000000003,0.200000000000003,-51,1,3,0,2,2,2,1,3
"1120",6,4,-0.71961591,-30.83,-0.800000000000011,-0.800000000000011,-46,0,2,0,2,2,2,1,3
"1127",6,4,-0.71141049,-29.88,2.59999999999999,2.59999999999999,-36,0,2,0,2,2,2,1,3
"1134",6,4,-0.70057933,-30.02,6.09999999999999,6.09999999999999,-26,0,2,0,2,2,2,1,3
"1141",6,4,-0.67540755,-28.04,-0.300000000000011,-0.300000000000011,-26,0,2,0,2,2,2,1,3
"1148",6,4,-0.63862839,-21.81,4.5,4.5,-16,0,2,0,2,2,1,1,3
"1155",6,4,-0.59525502,-17.63,8.5,8.5,-8,0,2,0,2,2,1,1,3
"1162",6,1,-0.53567917,-14.18,9.30000000000001,9.30000000000001,-4,0,2,0,2,2,1,1,3
"1169",6,1,-0.48066994,-11.51,6.80000000000001,6.80000000000001,-4,0,2,0,2,2,1,1,3
"1176",6,1,-0.43707443,-9.28,4.69999999999999,4.69999999999999,-4,0,2,0,2,2,1,1,3
"1183",6,1,-0.40452288,-7.5,3,3,-4,0,2,0,2,1,1,1,3
"1190",6,1,-0.38052398,-6.05,1.69999999999999,1.69999999999999,-4,0,2,0,1,1,1,1,3
